,May 25,May 24,May 23,May 22,May 21,May 20,May 19,May 18,May 16,May 15,May 14,May 13,May 12,May 10,May 09,May 07,May 06,March 01,February 28,February 24,February 20,February 18,February 13,February 11,February 08,February 04,February 01,January 30,January 29,January 28,January 27,January 26,January 25,January 22,January 22,January 19,
United States of America,5,5,5,2,5,2,5,7,7,7,7,7,7,7,7,13,10,39,39,29,38,34,34,34,33,31,30,26,30,26,23,24,24,28,35,44,-
Germany,10,10,10,10,14,14,14,17,10,12,14,14,12,10,12,12,10,15,15,14,17,14,35,34,37,38,36,34,37,34,35,35,34,37,42,56,-
United Kingdom,14,16,15,16,15,18,17,17,17,17,15,15,17,17,17,17,15,42,42,46,48,48,49,53,57,47,38,37,37,52,42,41,41,71,-,-,-
Brazil,11,11,11,11,11,13,13,13,13,15,15,15,15,15,15,15,15,12,12,5,5,5,5,5,5,5,5,6,6,6,5,5,5,5,5,11,-
France,10,10,10,11,11,12,10,10,18,18,16,17,18,19,19,19,19,33,33,35,37,36,36,33,31,36,32,26,26,26,27,22,23,27,35,37,-
Australia,14,16,16,15,17,18,18,18,18,18,16,17,18,18,18,8,8,33,32,31,35,29,33,32,42,47,39,40,38,43,75,70,69,78,84,73,-
Canada,14,16,18,13,10,7,7,7,7,7,7,7,7,7,7,7,17,27,28,25,20,20,33,32,37,38,43,35,34,33,40,41,38,67,-,-,-
Sweden,12,15,14,12,14,16,16,16,17,16,14,14,16,18,19,18,16,-,-,-,60,85,67,73,-,-,-,8,8,8,-,-,-,-,-,-,-
Norway,11,13,13,12,5,7,7,7,9,9,9,4,7,7,18,18,10,56,56,63,-,-,-,-,-,-,-,-,-,82,-,-,-,-,-,8,-
Netherlands,5,5,5,7,7,10,7,7,10,7,10,10,10,10,10,10,10,21,23,65,66,73,77,-,-,-,93,60,56,62,-,-,-,-,-,24,-
India,9,9,9,9,9,11,11,11,11,11,11,11,11,11,11,11,11,11,11,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8,-
Italy,4,4,4,7,7,7,7,7,16,7,10,7,7,7,7,10,13,33,33,6,28,27,27,28,34,41,35,28,27,34,30,28,30,39,38,61,-
Switzerland,2,7,5,11,10,10,15,15,15,15,13,13,15,15,15,15,13,56,56,42,56,47,65,60,51,94,65,78,78,-,-,-,-,-,-,-,-
Denmark,11,13,13,11,13,15,15,15,17,17,15,15,17,17,18,18,16,69,69,-,-,-,-,-,8,-,-,-,-,-,-,-,-,-,-,-,-
Spain,11,13,13,11,13,15,16,16,15,15,13,13,15,15,15,15,13,31,31,26,29,23,28,31,29,32,31,27,25,25,27,28,24,29,28,46,-
Mexico,13,13,13,13,13,15,15,15,15,15,15,15,15,17,15,15,15,11,11,5,5,5,5,8,8,5,8,8,8,8,11,8,8,13,14,22,-
Finland,11,13,13,11,15,17,17,15,15,15,15,15,21,23,23,23,21,-,-,-,-,-,-,-,-,-,-,-,-,-,88,86,88,8,5,8,-
Austria,12,13,13,11,13,15,15,15,15,15,5,5,5,5,15,15,13,89,89,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,5,8,-
Poland,12,16,16,14,16,18,18,18,18,18,16,16,18,18,18,18,16,20,20,35,44,42,35,43,46,46,40,48,46,45,49,47,49,62,66,-,-
Belgium,11,14,13,12,13,15,15,15,15,15,13,13,15,15,15,15,13,-,-,-,78,82,-,95,69,56,69,-,-,89,79,79,79,73,67,-,-
Czech Republic,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,58,57,47,54,43,46,53,51,60,92,-,-,83,-,-,-,72,92,11,-
Singapore,11,11,11,11,11,13,13,13,13,13,13,13,13,13,13,13,13,13,13,8,8,5,8,8,8,8,5,10,10,10,8,8,8,15,20,22,-
