,May 26,May 25,May 24,May 23,May 22,May 21,May 20,May 19,May 18,May 16,May 15,May 14,May 13,May 12,May 10,May 09,May 07,May 06,March 01,February 28,February 24,February 20,February 18,February 13,February 11,February 08,February 04,February 01,January 30,January 29,January 28,January 27,January 26,January 25,January 22,January 22,January 19
United States of America,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,10,9,9,10,10,10,10,11,11,11,10,10,11,10,11,10,12,13,10,21
Germany,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,9,8,8,10,9,9,10,11,10,10,10,13,15,14,12,12,14,15,15,18
United Kingdom,7,7,6,6,6,7,7,7,7,7,7,6,6,6,6,7,6,9,8,8,14,19,15,16,16,22,19,13,14,20,17,17,17,17,19,16,24
Brazil,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,9,7,7,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,13
France,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,8,8,8,10,10,10,9,9,9,9,9,10,10,10,11,9,9,12,9,21
Australia,7,7,7,7,7,7,7,7,7,7,7,5,5,7,5,5,7,8,8,8,10,10,10,10,13,16,19,14,19,21,19,23,23,22,21,19,20
Canada,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,9,8,9,10,11,11,11,12,12,11,14,14,14,14,14,14,17,19,23,25
Sweden,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,8,17,18,12,15,18,16,17,24,21,24,8,8,8,24,28,26,24,24,24
Norway,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,9,9,12,15,24,30,29,24,18,27,22,20,18,22,21,28,30,26,5
Netherlands,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,8,11,10,21,18,21,27,27,22,18,18,15,14,15,18,19,17,21,20,15
India,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,10
Italy,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,7,2,2,3,3,3,11,11,11,10,9,10,10,10,10,9,12,12,10,23
Switzerland,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,6,8,7,7,9,11,11,18,18,15,24,24,24,24,21,28,26,30,28,23,22
Denmark,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,15,13,24,18,18,24,21,5,29,29,25,21,24,21,18,22,24,24,14
Spain,6,6,6,6,6,6,5,6,6,6,6,7,6,6,7,7,7,10,7,7,9,9,9,10,10,9,9,9,9,11,9,12,11,15,15,12,20
Mexico,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,7,7,7,9,9,9,9,9,9,9,9,9,9,9,17
Finland,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,19,19,15,21,24,24,30,27,16,16,17,17,13,15,15,25,5,2,5
Austria,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,8,11,11,26,23,23,18,27,29,27,26,20,20,22,19,19,9,8,5,11
Poland,6,6,6,6,6,5,6,7,7,6,6,6,6,6,6,6,6,8,7,7,12,18,15,16,18,15,15,15,15,14,18,18,18,17,18,20,13
Belgium,6,6,6,6,6,6,6,6,6,6,7,7,6,6,6,7,7,9,12,14,14,17,18,15,18,15,16,18,20,19,22,18,17,15,16,19,24
Czech Republic,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,11,11,15,12,12,16,15,16,15,21,19,15,18,17,17,19,21,21,11
