,May 25,May 24,May 23,May 22,May 21,May 20,May 19,May 18,May 16,May 15,May 14,May 13,May 12,May 10,May 09,May 07,May 06,March 01,February 28,February 24,February 20,February 18,February 13,February 11,February 08,February 04,February 01,January 30,January 29,January 28,January 27,January 26,January 25,January 22,January 22,January 19
United States of America,9,9,9,9,13,13,13,13,13,13,13,13,13,13,13,11,11,39,41,52,55,55,53,55,55,59,51,59,66,66,60,62,-,-,-,-
Germany,6,6,6,6,6,6,6,9,9,8,8,8,8,8,9,8,8,46,44,65,61,65,61,69,-,-,-,-,-,-,-,-,-,-,-,-
United Kingdom,6,6,3,5,5,8,8,8,8,8,8,8,8,8,10,10,10,55,55,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Brazil,4,6,4,6,6,8,8,7,7,7,7,7,7,7,7,4,4,8,6,4,5,5,5,5,5,5,4,6,6,6,5,5,9,8,16,30
France,3,3,3,4,4,4,4,3,6,4,4,4,4,4,4,4,4,47,50,68,68,72,62,67,63,68,60,63,68,66,66,63,69,-,-,-
Australia,6,6,9,9,11,14,14,11,11,11,11,11,11,11,8,8,8,54,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Canada,9,6,6,6,8,8,8,8,8,12,12,12,8,8,5,5,8,50,46,58,53,59,61,61,71,-,-,-,-,-,-,-,-,-,-,-
Sweden,6,6,6,9,8,8,8,5,9,9,11,11,8,8,8,8,8,-,-,-,-,-,-,-,-,-,-,11,14,14,-,-,-,-,-,-
Norway,9,12,12,9,12,12,12,12,9,8,8,8,6,8,6,8,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29
Netherlands,6,6,6,6,6,8,8,8,8,8,8,8,8,8,11,8,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,34
India,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,9,7,7,7,4,7,7,8,8,8,8,7,7,7,6,12,18,26
Italy,6,3,3,3,3,6,6,6,4,3,6,6,6,6,6,6,6,25,30,40,49,56,51,52,66,-,-,-,-,-,-,-,-,-,-,-
Switzerland,4,4,4,5,4,4,4,4,4,4,4,5,5,6,6,8,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Denmark,9,10,7,11,7,11,11,11,15,15,9,15,14,7,9,7,9,-,-,-,-,-,-,-,11,-,-,-,-,-,-,-,-,-,-,36
Spain,3,3,3,3,4,4,3,3,3,4,3,3,3,3,3,3,3,45,43,59,51,60,50,55,50,57,50,54,49,52,47,59,-,-,-,-
Mexico,6,6,6,9,9,9,7,8,7,4,4,7,4,7,6,6,6,9,7,9,7,10,11,11,11,7,7,10,11,8,14,14,14,27,34,60
Finland,11,11,16,17,17,17,17,12,14,12,17,17,16,16,14,14,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,11,23
Austria,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,11,12,18
Poland,8,8,6,11,13,13,16,13,13,13,13,13,13,13,12,13,9,17,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26
Belgium,3,3,3,3,3,3,3,4,4,4,3,4,4,4,4,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Czech Republic,8,8,8,8,10,13,13,10,10,10,10,10,10,10,10,10,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,31
Singapore,4,4,4,6,6,6,6,6,6,6,6,6,3,3,6,4,6,7,9,3,13,11,9,14,19,20,31,28,26,21,42,42,37,39,43,84
New Zealand,10,9,7,6,6,10,7,7,7,10,15,10,7,7,9,9,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Chile,6,9,4,6,4,4,2,2,2,2,2,4,4,2,5,2,5,2,5,2,5,4,2,2,5,2,8,7,7,7,8,8,12,21,28,70
Hungary,9,9,12,9,14,9,9,9,11,11,11,11,11,9,11,11,11,-,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ireland,10,10,10,12,12,18,18,13,16,16,15,15,13,15,15,13,13,-,-,-,-,-,-,-,4,-,-,-,15,11,7,7,8,11,8,12
Argentina,9,9,9,9,9,9,9,6,9,9,9,9,9,12,6,9,9,10,7,4,4,5,4,4,4,8,4,7,8,4,4,4,4,8,10,19
Turkey,12,12,12,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Japan,22,23,24,25,27,29,29,30,31,30,26,29,28,23,30,26,30,27,32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
South Africa,9,12,12,12,12,12,12,9,12,16,15,13,12,12,12,12,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Malaysia,4,4,10,10,10,11,9,9,5,5,7,7,7,7,7,12,10,7,8,5,5,5,6,5,5,8,8,7,7,7,13,12,13,19,17,36
Israel,9,9,9,9,12,12,12,9,9,6,6,6,9,9,12,9,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,-,-,30
Slovakia,6,6,6,8,6,8,8,8,6,6,6,4,8,7,8,9,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29
Portugal,6,6,6,9,9,9,9,9,9,11,10,11,14,14,14,10,11,27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Taiwan, Republic of China",17,15,15,15,15,12,15,16,17,19,19,21,19,14,13,13,15,18,18,12,9,12,12,18,21,30,31,29,32,46,55,54,46,47,49,-
Greece,18,18,15,16,17,16,17,13,12,11,15,15,15,13,14,14,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,23
Philippines,7,8,8,8,8,8,8,7,9,9,7,7,7,7,10,10,10,16,29,-,-,59,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Indonesia,8,8,7,5,5,5,5,7,5,5,5,5,7,5,5,5,5,5,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Colombia,12,12,10,12,10,10,5,7,7,5,5,5,7,6,7,7,7,4,4,2,4,4,4,5,2,2,4,3,3,4,6,5,7,12,16,45
Romania,10,13,15,10,15,16,18,19,16,15,15,15,18,12,12,12,11,22,32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Peru,18,17,12,17,12,17,18,19,17,17,13,13,13,11,11,11,13,2,2,3,9,3,10,7,9,12,9,8,18,16,17,17,17,17,19,58
